epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,319.066,0.76397,1.80506,1.40876,0.37333,0.05556,0.02459,0.00568,3.76051,7.86364,6.68039,0.0702703,0.0033033,0.0033033
2,631.589,0.82974,1.52986,1.45155,0.26851,0.78438,0.36927,0.19497,1.25408,2.24598,2.99332,0.0402686,0.00663502,0.00663502
3,941.307,0.74989,1.441,1.39068,0.08397,0.60364,0.08824,0.02533,2.38463,4.20758,4.10336,0.0102605,0.00996023,0.00996023
4,1249.75,0.73717,1.40488,1.37323,0.02091,0.22262,0.01418,0.00265,3.73257,5.09976,5.56741,0.00997803,0.00997803,0.00997803
5,1558.92,0.68361,1.37994,1.34689,0.27783,0.91433,0.33429,0.20075,1.26149,1.48966,2.48351,0.00996097,0.00996097,0.00996097
6,1869.26,0.61484,1.30949,1.28306,0.2858,0.91158,0.39197,0.2839,0.98539,1.38003,1.94969,0.00993906,0.00993906,0.00993906
7,2179.51,0.61877,1.29795,1.2874,0.31316,0.81933,0.40307,0.24003,1.22855,1.52101,2.16152,0.00991232,0.00991232,0.00991232
8,2488.58,0.60386,1.28231,1.28263,0.27436,0.89336,0.31177,0.19313,1.05502,1.47475,2.11465,0.00988079,0.00988079,0.00988079
9,2798.33,0.62154,1.26947,1.28321,0.29149,0.92573,0.39567,0.24501,1.21946,1.52868,2.11348,0.00984449,0.00984449,0.00984449
10,3106.27,0.5658,1.24586,1.23226,0.25351,0.91158,0.36527,0.27431,0.91954,1.52189,1.95931,0.00980345,0.00980345,0.00980345
11,3419.27,0.56548,1.22185,1.2469,0.28819,0.92706,0.37491,0.27829,0.86879,1.36352,1.6772,0.00975773,0.00975773,0.00975773
12,3729.58,0.5496,1.24054,1.22334,0.29564,0.96286,0.3799,0.24189,1.07599,1.34173,2.14337,0.00970736,0.00970736,0.00970736
13,4041.53,0.54193,1.23976,1.23608,0.32039,1,0.38833,0.29113,0.81454,1.24234,1.63448,0.00965239,0.00965239,0.00965239
14,4353.42,0.51397,1.21559,1.20799,0.29072,0.92971,0.37571,0.25315,0.99633,1.39814,1.80229,0.00959289,0.00959289,0.00959289
15,4662.32,0.515,1.20025,1.20224,0.31758,1,0.38493,0.28239,0.90998,1.31524,1.6676,0.00952889,0.00952889,0.00952889
16,4974.69,0.52229,1.20952,1.22254,0.32241,1,0.39655,0.29463,0.83624,1.22675,1.59553,0.00946048,0.00946048,0.00946048
17,5285.57,0.52805,1.20292,1.2124,0.31891,0.98851,0.42156,0.32674,0.85376,1.22553,1.86392,0.00938772,0.00938772,0.00938772
18,5594.22,0.5318,1.21634,1.2283,0.26154,0.64472,0.30883,0.21545,0.88205,1.77309,1.50579,0.00931067,0.00931067,0.00931067
19,5902.35,0.49259,1.1849,1.20011,0.30032,0.95004,0.38591,0.29075,0.8509,1.22667,1.7063,0.00922942,0.00922942,0.00922942
20,6213.74,0.49551,1.18085,1.19421,0.31351,0.98851,0.36815,0.27934,0.86172,1.2111,1.82657,0.00914405,0.00914405,0.00914405
21,6525.58,0.4793,1.17349,1.17364,0.32762,0.984,0.37649,0.29354,0.79102,1.21582,1.62821,0.00905463,0.00905463,0.00905463
22,6837.34,0.49653,1.18573,1.19284,0.32527,1,0.40891,0.31499,0.71988,1.18394,1.40701,0.00896127,0.00896127,0.00896127
23,7149.34,0.48028,1.17233,1.18593,0.32424,0.98718,0.39068,0.27716,0.92451,1.26305,1.60959,0.00886404,0.00886404,0.00886404
24,7459.25,0.47939,1.17728,1.19833,0.32717,1,0.38264,0.29,0.8391,1.20394,1.76782,0.00876305,0.00876305,0.00876305
25,7770.68,0.48666,1.18734,1.19403,0.17788,0.90362,0.26974,0.19564,1.00324,1.66184,2.14078,0.00865839,0.00865839,0.00865839
26,8081.35,0.46757,1.16288,1.17538,0.32737,1,0.39841,0.31988,0.75168,1.2495,1.43859,0.00855018,0.00855018,0.00855018
27,8391.85,0.44696,1.15965,1.17052,0.31133,0.97955,0.40863,0.30165,0.83639,1.22902,1.78774,0.00843851,0.00843851,0.00843851
28,8702.24,0.44449,1.16146,1.1663,0.303,0.98718,0.38504,0.3142,0.69986,1.24538,1.39146,0.00832349,0.00832349,0.00832349
29,9012.76,0.45809,1.16244,1.17436,0.32461,0.99606,0.43502,0.35312,0.74602,1.19883,1.36639,0.00820525,0.00820525,0.00820525
